"","cct","Esp","Mat","NEsp","NMat","PromedioGeneral"
"352","02EES0168T",449.255821754819,453.40445589338,88,88,451.330138824099
"353","02EES0175C",468.21847363452,480.380467910589,35,35,474.299470772555
"354","02EES0186I",408.939491501874,452.836420871052,94,94,430.887956186463
"355","02EES0187H",465.671655434901,505.156982581381,567,567,485.414319008141
"356","02EES0197O",470.267292319212,497.044119958636,479,479,483.655706138924
"357","02EES0198N",463.850750191444,503.530991463733,114,114,483.690870827588
"358","02EES0204H",456.324367975551,494.435693709109,470,470,475.38003084233
"359","02EES0206F",485.605137636159,527.424941570388,298,298,506.515039603274
"360","02EES0213P",435.073754822517,444.377789072866,224,224,439.725771947691
"361","02EES0217L",434.780317054436,444.847841398211,47,47,439.814079226324
"362","02EES0218K",464.415729936247,483.691983329011,330,330,474.053856632629
"363","02EST0008Y",419.089306080893,413.644149421532,153,153,416.366727751212
"364","02ETV0001S",389.898130967882,434.315911865234,37,37,412.107021416558
"365","02ETV0004P",431.699783534938,461.900643864078,170,170,446.800213699508
"366","02ETV0005O",362.943779627482,417.250158945719,13,13,390.0969692866
"367","02ETV0007M",432.02210659451,452.414980570475,9,9,442.218543582492
"368","02ETV0008L",459.962320399351,494.285008047408,41,41,477.123664223379
"369","02ETV0014W",495.270432325025,533.244359442593,109,109,514.257395883809
"370","02ETV0016U",533.179243832543,553.793291873024,16,16,543.486267852783
"371","02ETV0020G",456.450410947153,489.610374064594,253,253,473.030392505873
"372","02ETV0021F",512.76220939688,565.711359706546,174,174,539.236784551713
"373","02ETV0022E",534.911459754192,562.042267422284,90,90,548.476863588238
"374","02ETV0023D",434.62428249783,426.711407470703,13,13,430.667844984266
"375","02ETV0029Y",527.232171478856,618.18306189271,84,84,572.707616685783
"376","02ETV0030N",385.667050170898,460.970700412326,9,9,423.318875291612
"377","02ETV0031M",438.773081461589,487.031686740451,9,9,462.90238410102
"378","02ETV0032L",477.293572910643,502.020432362053,64,64,489.657002636348
"379","02ETV0033K",423.049128214518,457.022947184245,12,12,440.036037699381
"380","02ETV0034J",273.24843343099,302.702843560113,5,5,287.975638495551
"381","02ETV0036H",486.553414577908,503.092983088418,37,37,494.823198833163
"382","02ETV0044Q",503.920282164877,540.728284291848,210,210,522.324283228362
"383","02ETV0046O",523.905206289482,530.53153289738,126,126,527.218369593431
"384","02ETV0047N",534.316182240846,551.095375313364,80,80,542.705778777105
"385","02ETV0056V",334.447903951009,348.202407836914,6,6,341.325155893961
